"Plot Title: 9768697"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9768697, SEN S/N: 9768697)","Intensity, Lux (LGR S/N: 9768697, SEN S/N: 9768697)","Bad Battery (LGR S/N: 9768697)","Good Battery (LGR S/N: 9768697)","Coupler Attached (LGR S/N: 9768697)","Host Connected (LGR S/N: 9768697)","Stopped (LGR S/N: 9768697)","End Of File (LGR S/N: 9768697)"
381,04/14/22 01:00:00 PM,7.079,2669.5,,,,,,
382,04/14/22 02:00:00 PM,8.879,5166.7,,,,,,
383,04/14/22 03:00:00 PM,10.259,3100.0,,,,,,
384,04/14/22 04:00:00 PM,12.401,4133.4,,,,,,
385,04/14/22 05:00:00 PM,15.760,5166.7,,,,,,
386,04/14/22 06:00:00 PM,7.782,1377.8,,,,,,
387,04/14/22 07:00:00 PM,7.782,1636.1,,,,,,
388,04/14/22 08:00:00 PM,5.037,0.0,,,,,,
389,04/14/22 09:00:00 PM,4.415,0.0,,,,,,
390,04/14/22 10:00:00 PM,3.578,0.0,,,,,,
391,04/14/22 11:00:00 PM,3.155,0.0,,,,,,
392,04/15/22 12:00:00 AM,3.049,0.0,,,,,,
393,04/15/22 01:00:00 AM,1.872,0.0,,,,,,
394,04/15/22 02:00:00 AM,1.221,0.0,,,,,,
395,04/15/22 03:00:00 AM,1.221,0.0,,,,,,
396,04/15/22 04:00:00 AM,1.439,0.0,,,,,,
397,04/15/22 05:00:00 AM,1.003,0.0,,,,,,
398,04/15/22 06:00:00 AM,1.439,0.0,,,,,,
399,04/15/22 07:00:00 AM,2.517,150.7,,,,,,
400,04/15/22 08:00:00 AM,3.683,904.2,,,,,,
401,04/15/22 09:00:00 AM,5.347,1808.3,,,,,,
402,04/15/22 10:00:00 AM,6.268,2152.8,,,,,,
403,04/15/22 11:00:00 AM,7.079,2325.0,,,,,,
404,04/15/22 12:00:00 PM,9.373,2669.5,,,,,,
405,04/15/22 01:00:00 PM,9.373,2238.9,,,,,,
406,04/15/22 02:00:00 PM,13.269,4133.4,,,,,,
407,04/15/22 03:00:00 PM,10.846,2669.5,,,,,,
408,04/15/22 04:00:00 PM,16.141,5338.9,,,,,,
409,04/15/22 05:00:00 PM,19.472,5166.7,,,,,,
410,04/15/22 06:00:00 PM,20.901,8266.7,,,,,,
411,04/15/22 07:00:00 PM,18.236,7233.4,,,,,,
412,04/15/22 08:00:00 PM,7.882,53.8,,,,,,
413,04/15/22 09:00:00 PM,6.370,0.0,,,,,,
414,04/15/22 10:00:00 PM,5.860,0.0,,,,,,
415,04/15/22 11:00:00 PM,5.141,0.0,,,,,,
416,04/16/22 12:00:00 AM,3.893,0.0,,,,,,
417,04/16/22 01:00:00 AM,4.519,0.0,,,,,,
418,04/16/22 02:00:00 AM,3.788,0.0,,,,,,
