"sensor_index","year","month","day","hour","avg_pm","avg_rh","avg_temp","pm2.5_corrected"
183479,2025,7,30,23,5.80822580645161,45.0967741935484,79.1935483870968,4.90616838709678
183479,2025,7,31,0,4.56383333333333,46.3333333333333,79.1333333333333,4.14751533333333
183479,2025,7,31,1,2.29016666666667,55.5666666666667,76.8,2.16020066666667
183479,2025,7,31,2,0.75948275862069,60.0689655172414,74.6206896551724,0.970024137931035
183479,2025,7,31,3,0.51758064516129,59.9032258064516,73.4516129032258,0.857554193548387
183479,2025,7,31,4,0.4205,61.7666666666667,72.0333333333333,0.646055333333333
183479,2025,7,31,5,0.612833333333333,63.4333333333333,71.2333333333333,0.603171333333334
183479,2025,7,31,6,0.72448275862069,64.1379310344828,70.8965517241379,0.600939310344828
183479,2025,7,31,7,0.915645161290323,63.9354838709677,71.1290322580645,0.718559354838709
183479,2025,7,31,8,1.02466666666667,61.7,72.9333333333333,0.968385333333333
183479,2025,7,31,9,1.25783333333333,59.0333333333333,74.7333333333333,1.32043133333333
183479,2025,7,31,10,1.52448275862069,55.2413793103448,77.448275862069,1.78702206896552
183479,2025,7,31,11,3.07258064516129,50.0967741935484,80.4193548387097,3.04169032258065
183479,2025,7,31,12,4.427,47.8666666666667,82.1,3.94364133333333
183479,2025,7,31,13,4.3875,43.0666666666667,85.0666666666667,4.33670333333333
183479,2025,7,31,14,4.80206896551724,41.5172413793103,85.6206896551724,4.68749793103448
183479,2025,7,31,15,5.42225806451613,38.8709677419355,87.258064516129,5.24058580645161
183479,2025,7,31,16,6.61083333333333,39.5666666666667,87.7333333333333,5.80343
183479,2025,7,31,17,9.24116666666667,38.6333333333333,88.2666666666667,7.262178
183479,2025,7,31,18,9.57827586206897,40.7586206896552,86.0689655172414,7.25562344827586
183479,2025,7,31,19,12.2811290322581,40.8709677419355,86.1290322580645,8.66223419354839
183479,2025,7,31,20,11.9186666666667,43.1333333333333,84.0333333333333,8.277288
183479,2025,7,31,21,6.8305,50.0333333333333,80.0333333333333,5.01630866666667
183479,2025,7,31,22,2.21637931034483,53.8275862068966,78.6551724137931,2.27144482758621
183479,2025,7,31,23,1.20645161290323,55.4838709677419,76.5161290322581,1.59947096774194
183479,2025,8,1,0,0.970666666666667,59.1,72.9666666666667,1.16420933333333
183479,2025,8,1,1,1.89383333333333,61.7,71.4666666666667,1.42382866666667
183479,2025,8,1,2,3.17258620689655,63.6206896551724,70.1379310344828,1.92833172413793
183479,2025,8,1,3,3.82370967741935,64.8387096774194,69.3870967741936,2.16452709677419
183479,2025,8,1,4,4.22283333333333,65.9666666666667,68.6,2.276438
183479,2025,8,1,5,4.61083333333333,66.9333333333333,68.0666666666667,2.39642333333333
183479,2025,8,1,6,5.07965517241379,66.3448275862069,68.3448275862069,2.69281517241379
183479,2025,8,1,7,4.87193548387097,63.3870967741936,69.4516129032258,2.8389264516129
183479,2025,8,1,8,3.75516666666667,61.4333333333333,70.5,2.422154
183479,2025,8,1,9,2.866,60.4333333333333,71.8666666666667,2.04243066666667
