WptNo,Hobo_SN,Pole_No,Location,DBH_cm,DistFromLogger_m,Species,,,,
41,9784509,NA,South Tacoma Wetland 2,7,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,7,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,4,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,2,6,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,45.4,0,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,9,6,Prunus,,,,
41,9784509,NA,South Tacoma Wetland 2,26.5,8,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,85.9,5,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,22,9,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,25.3,10,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,28.8,13,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,4,8,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,4,7,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,5,7,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,5,6,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,3,6,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,5.8,4,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,3.6,5,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,4.4,5,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,6.4,5,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,6.4,6,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,6.6,6,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,4,3,Unknown,,,,
41,9784509,NA,South Tacoma Wetland 2,6.7,5,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,3.4,5,Alnus,,,,
41,9784509,NA,South Tacoma Wetland 2,3.1,5,Alnus,,,,
42,21223114,TP26058 - Tacoma Power Owned,Pine at 40th,20,7,Prunus,,,paces,m
42,21223114,TP26058 - Tacoma Power Owned,Pine at 40th,10.5,4,Amelanchier,,,14,10
43,2401795,TP27040 - Tacoma Power Owned,Pine at 43rd,24,1,Lquidumbar,,,1,0.714285714
43,2401795,TP27040 - Tacoma Power Owned,Pine at 43rd,22,6,Lquidumbar,,,2,1.428571429
44,21162467,TP6336 - Tacoma Power Owned,Pine between 45th and 43rd,20.5,6,Lquidumbar,,,3,2.142857143
44,21162467,TP6336 - Tacoma Power Owned,Pine between 45th and 43rd,29,9,Prunus,,,4,2.857142857
45,21223140,TP32717 - Tacoma Power Owned,S. 50th at Asia Pacific Center,8.5,3,Rhodendron,,,5,3.571428571
