WptNo,Hobo_SN,Pole_No,Location,Install_Date,Install_Time,Data_collection_StartDate,Data_collection_StartTime,LoggingInterval,Shield?,Winter2021Notes,Spring2022DownloadDate,Summer2022DownloadDate,Fall2022Download Date,ReplacementHobo_SN,Winter2023DownloadDate,Spring2023DownloadRelaunchDate,Spring2023LoggingInterval,Data_collection_EndDate,Data_collection_EndTime,Logger Removed Date,Notes
30,21223110,14998/A1928583,Outside Tacoma schools,12/16/2021,11:46:00,12/16/2021,14:00:00,1 hour,Yes,Downloaded and relaunched old logger; pilot logger not there on 3/8/2022,8-Apr-22,,9/29/2022,,,NA,NA,3/31/2023,13:00:00,,
30,BT21302972,14998/A1928583,Outside Tacoma schools,1/6/2023,,1/6/2023,,1 min,Yes,,NA,,NA,,1/6/2023,NA,1 min,,,,
31,21162231,A1341105,outside USPS,1/13/2022,11:11:00,1/13/2022,14:00:00,1 hour,No,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,4/28/2023,12:51:00,,
31,21223118,A1341105,outside USPS,1/13/2022,11:11:00,1/13/2022,14:00:00,1 hour,Yes,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,4/28/2023,12:51:00,,
31,BT2130248,A1341105,outside USPS,4/28/2023,12:51:00,4/28/2023,13:00:00,1 min,Yes,,NA,,NA,,NA,NA,1 min,,,,
32,21223126,TP3972,43rd at Cedar,1/13/2022,12:28:00,1/11/2022,14:00:00,1 hour,Yes,north side of 43rd,29-Mar-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2023,,,
32,BT21616934,TP3972,43rd at Cedar,3/31/2023,13:41:00,3/31/2023,14:00:00,1 min,Yes,north side of 43rd,NA,,NA,,NA,5/5/2023,1 min,,,,
33,21223129,A1341128,"43rd between Lawrence and Alder, North side of 43rd",1/13/2022,10:55:00,1/13/2022,14:00:00,1 hour,Yes,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2023,13:33,,
33,9768700,A1341128,"43rd between Lawrence and Alder, North side of 43rd",1/13/2022,10:55:00,1/13/2022,14:00:00,1 hour,No,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2023,13:33,,
33,BT21616936,A1341128,"43rd between Lawrence and Alder, North side of 43rd",3/31/2023,11:33:00,3/31/2023,12:00:00,1 hour,Yes,,NA,,NA,,NA,5/5/2023,1 min,,,,
38,21223138,TP21036,South puget sound ave; just north of 47 (south of tp21035),1/11/2022,12:00:00,1/11/2022,14:00:00,1 hour,Yes,,3/8/2022,,9/29/2022,,12/15/2022,NA,NA,3/31/2023,10:36:00,,
38,BT212616932,TP21036,South puget sound ave; just north of 47 (south of tp21035),3/31/2023,10:36:00,3/31/2023,11:00:00,1 hour,Yes,,NA,,NA,,NA,5/5/2023,1 min,,,,
35,21223132,A1341119,45th at Lawrence ,1/13/2022,11:40:00,1/13/2022,14:00:00,1 hour,Yes,south side of 45th,3/8/2022,,9/29/2022,,1/6/2023,NA,,3/31/2023,11:29:00,,
35,BT21616950,A1341119,45th at Lawrence ,3/31/2023,11:29:00,3/31/2023,12:00:00,1 hour,Yes,south side of 45th,NA,,NA,,NA,5/5/2023,1 min,,,,
39,21223136,TP13307,Prospect between 50th and 49th,1/20/2022,11:15:00,1/13/2022,14:00:00,1 hour,Yes,,3/8/2022,,10/5/2022,,12/15/2022,NA,NA,4/28/2023,14:20:00,,
39,BT21616939,TP13307,Prospect between 50th and 49th,4/28/2023,14:20:00,4/28/2023,15:00:00,1 min,Yes,,NA,,NA,,NA,NA,1 min,,,,
40,21223105,STW1,South Tacoma Wetland 1,1/20/2022,12:00:00,1/20/2022,14:00:00,1 hour,No,no shield,3/8/2022,,9/29/2022,,1/6/2023,NA,1 hour,,,,
41,9784509,STW2,South Tacoma Wetland,1/20/2022,12:00:00,1/20/2022,14:00:00,1 hour,No,no shield,3/8/2022,,9/29/2022,,1/6/2023,NA,1 hour,,,,
NA,21162457,TP12963,"60th and Prospect Street, outside Wapato Hills",pilot,removed 2022-02-16,,,NA,,,NA,NA,,,,NA,NA,2/16/2022,,,
46,21223116,TP6262/A1340985,S. Tacoma Way between 48th and 49th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,NA,1 hr,3/31/2023,,,
46,BT21302967,TP6262/A1340985,S. Tacoma Way between 48th and 49th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,5/5/2023,1min,,,,
48,21223131,TP13988/A1378018,S. Tacoma Way between 38th and 42th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,NA,1 hr,3/31/2023,9:39:00,,
48,BT21302976,TP13988/A1378018,S. Tacoma Way between 38th and 42th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,5/5/2023,1min,,,,
47,21223102,TP13987/A1378019,S. Tacoma Way between 38th and 42th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,NA,NA,missing on 5/5/2023,,,
47,BT21302979,TP13987/A1378019,S. Tacoma Way between 38th and 42th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,NA,NA,missing on 5/5/2023,,,
47,BT2161693,TP13987/A1378019,S. Tacoma Way between 38th and 42th,5/5/2023,13:00:00,5/5/2023,13:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
45,21223140,TP32717,S. 50th at Asia Pacific Center,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,12/15/2022,NA,NA,3/31/2022,9:30:00,,
45,BT21302974,TP32717,S. 50th at Asia Pacific Center,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,12/15/2022,5/5/2023,1min,,,,
50,21223127,TP9879,S. Tacoma Way at 52nd,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/30/2022,9/29/2022,,1/6/2023,NA,1 hr,3/31/2022,10:08:00,,
50,BT21302964,TP9879,S. Tacoma Way at 52nd,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/30/2022,9/29/2022,,1/6/2023,4/28/2023,1min,,,,
49,21223101,TP15706/A1278025,S. Tacoma Way at 38th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,NA,NA,5/5/2023,12:30:00,,
49,BT21302946,TP15706/A1278025,S. Tacoma Way at 38th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,1/6/2023,5/5/2023,1 min,,,,
44,BT21302947,TP6336,Pine at 45th,4/8/2022,12:45:00,4/8/2022,13:00:00,1 hour,Yes,,NA,,9/29/2022,,1/6/2023,4/28/2023,1 min,,,,
44,21162467,TP6336,Pine at 45th,4/8/2022,12:45:00,4/8/2022,13:00:00,1 hour,Yes,,NA,,9/29/2022,,1/6/2023,NA,NA,4/28/2023,12:30:00,,
43,2401795,TP27040,Pine at 43rd,4/8/2022,12:30:00,4/8/2022,13:00:00,1 hour,Yes,,NA,,9/29/2022,,1/6/2023,NA,NA,4/28/2023,12:21:00,,
43,BT21302957,TP27040,Pine at 43rd,4/8/2022,12:30:00,4/8/2022,13:00:00,1 hour,Yes,,NA,,9/29/2022,,1/6/2023,NA,1 min,,,,
42,21223114,TP26058,Pine at 40th,3/29/2022,,3/29/2022,,1 hour,Yes,,NA,,9/29/2022,,1/6/2023,NA,NA,4/28/2023,12:05:00,,
42,BT21302973,TP26058,Pine at 40th,4/28/2023,12:05:00,NA,,1 hour,Yes,,NA,,NA,,NA,NA,1 min,,,,
52,BT21302950,TP6340,Pine between 45th and 47th,5/24/2022,12:00,5/24/2022,,1 hour,Yes,,NA,6/29/2022,9/29/2022,,NA,NA,NA,missing on 1/6/2023,,,
52,9784502,TP6340,Pine between 45th and 47th,1/6/2023,,1/6/2023,,1 hour,Yes,,NA,NA,NA,,NA,NA,NA,4/28/2023,12:36:00,,
